Authors,Title,Year,Source,,
"Hahn, S.Y; Ko, E.Y; Han, B.-K; Shin, J.H; Ko, E.S.",Role of diffusion-weighted imaging as an adjunct to contrast-enhanced breast MRI in evaluating residual breast cancer following neoadjuvant chemotherapy,2014,European Journal of Radiology,,
"Lee, N.K; Kim, S; Kim, T.U; Kim, D.U; Seo, H.I; Jeon, T.Y.",Diffusion-weighted MRI for differentiation of benign from malignant lesions in the gallbladder,2014,Clinical Radiology,,
"Ringenberg, J; Deo, M; Devabhaktuni, V; Berenfeld, O; Snyder, B; Boyers, P; Gold, J.",Accurate reconstruction of 3D cardiac geometry from coarsely-sliced MRI,2014,Computer Methods and Programs in Biomedicine,,
"Jouvet, J.C; Thomas, L; Thomson, V; Yanes, M; Journe, C; Morelec, I; Bracoud, L; Durupt, F; Giammarile, F; Berthezene, Y.","Whole-body MRI with diffusion-weighted sequences compared with 18 FDG PET-CT, CT and superficial lymph node ultrasonography in the staging of advanced cutaneous melanoma: A prospective study",2014,Journal of the European Academy of Dermatology and Venereology,,
"Wang, Y; Zhang, X.-P; Li, Y.-L; Li, X.-T; Hu, Y; Cui, Y; Sun, Y.-S; Zhang, X.-Y.",Optimization of the parameters for diffusion tensor magnetic resonance imaging data acquisition for breast fiber tractography at 1.5 T,2014,Clinical Breast Cancer,,
"Ingo, C; Magin, R.L; Colon-Perez, L; Triplett, W; Mareci, T.H.",On random walks and entropy in diffusion-weighted magnetic resonance imaging studies of neural tissue,2014,Magnetic Resonance in Medicine,,
"Chang, Z; Kirkpatrick, J.P; Wang, Z; Cai, J; Adamson, J; Yin, F.-F.",Evaluating radiation-induced white matter changes in patients treated with stereotactic radiosurgery using diffusion tensor imaging: A pilot study,2014,Technology in Cancer Research and Treatment,,
"Dallaudi’åre, B; Dautry, R; Preux, P.-M; Perozziello, A; Lincot, J; Schouman-Claeys, E; Serfaty, J.-M.",Comparison of apparent diffusion coefficient in spondylarthritis axial active inflammatory lesions and type 1 modic changes,2014,European Journal of Radiology,,
"Yoon, J.H; Lee, J.M; Yu, M.H; Kiefer, B; Han, J.K; Choi, B.I.",Evaluation of hepatic focal lesions using diffusion-weighted MR imaging: Comparison of apparent diffusion coefficient and intravoxel incoherent motion-derived parameters,2014,Journal of Magnetic Resonance Imaging,,
"Gen’_, B; Solak, A; Å_ahin, N; Gen’_, M; O‰_ul, H; Sivrikoz, O.N; Kantarci, M.",Diffusion-weighted imaging in the evaluation of hormonal cyclic changes in abdominal wall endometriomas,2014,Clinical Radiology,,
"Rose, J; Vassar, R; Cahill-Rowley, K; Guzman, X.S; Stevenson, D.K; Barnea-Goraly, N.",Brain microstructural development at near-term age in very-low-birth-weight preterm infants: An atlas-based diffusion imaging study,2014,NeuroImage,,
"Zhang, Z; Hallac, R.R; Peschke, P; Mason, R.P.",A noninvasive tumor oxygenation imaging strategy using magnetic resonance imaging of endogenous blood and tissue water,2014,Magnetic Resonance in Medicine,,
"Jadas, V; Brasseur-Daudruy, M; Chollat, C; Pellerin, L; Devaux, A.M; Marret, S.","The contribution of the clinical examination, electroencephalogram, and brain MRI in assessing the prognosis in term newborns with neonatal encephalopathy. A cohort of 30 newborns before the introduction of treatment with hypothermia | ’_valuation du pronostic de l'enc’©phalopathie pr’©coce du nouveau-n’© ’_ terme avant l'av’ånement de l'hypothermie",2014,Archives de Pediatrie,,
"De Santis, S; Assaf, Y; Evans, C.J; Jones, D.K.",Improved precision in CHARMED assessment of white matter through sampling scheme optimization and model parsimony testing,2014,Magnetic Resonance in Medicine,,
"Yasuno, F; Matsuoka, K; Kitamura, S; Kiuchi, K; Kosaka, J; Okada, K; Tanaka, S; Shinkai, T; Taoka, T; Kishimoto, T.",Decision-making deficit of a patient with axonal damage after traumatic brain injury,2014,Brain and Cognition,,
"Kuswanto, C.N; Sum, M.Y; Yang, G.L; Nowinski, W.L; McIntyre, R.S; Sim, K.",Increased body mass index makes an impact on brain white-matter integrity in adults with remitted first-episode mania,2014,Psychological Medicine,,
"Pannek, K; Scheck, S.M; Colditz, P.B; Boyd, R.N; Rose, S.E.",Magnetic resonance diffusion tractography of the preterm infant brain: A systematic review,2014,Developmental Medicine and Child Neurology,,
"Eppenberger, P; Andreisek, G; Chhabra, A.",Magnetic resonance neurography. Diffusion tensor imaging and future directions,2014,Neuroimaging Clinics of North America,,
"Lemmens, R; Christensen, S; Straka, M; De Silva, D.A; Mlynash, M; Campbell, B.C.V; Bammer, R; Olivot, J.-M; Desmond, P; Marks, M.P; Davis, S.M; Donnan, G.A; Albers, G.W; Lansberg, M.G.",Patients with single distal MCA perfusion lesions have a high rate of good outcome with or without reperfusion,2014,International Journal of Stroke,,
"Burge, A.J; Gold, S.L; Kuong, S; Potter, H.G.",High-resolution magnetic resonance imaging of the lower extremity nerves,2014,Neuroimaging Clinics of North America,,
"Bertelson, J.A; Ajtai, B.",Neuroimaging of dementia,2014,Neurologic Clinics,,
"Nour, M; Liebeskind, D.S.",Imaging of cerebral ischemia. From acute stroke to chronic disorders.,2014,Neurologic Clinics,,
"Satterthwaite, T.D; Elliott, M.A; Ruparel, K; Loughead, J; Prabhakaran, K; Calkins, M.E; Hopson, R; Jackson, C; Keefe, J; Riley, M; Mentch, F.D; Sleiman, P; Verma, R; Davatzikos, C; Hakonarson, H; Gur, R.C; Gur, R.E.",Neuroimaging of the Philadelphia Neurodevelopmental Cohort,2014,NeuroImage,,
"Bell, C; Pannek, K; Fay, M; Thomas, P; Bourgeat, P; Salvado, O; Gal, Y; Coulthard, A; Crozier, S; Rose, S.",Distance informed Track-Weighted Imaging (diTWI): A framework for sensitising streamline information to neuropathology,2014,NeuroImage,,
"Smallman, R.P; Barkus, E; Azadbakht, H; Embleton, K.V; Haroon, H.A; Lewis, S.W; Morris, D.M; Parker, G.J; Rushe, T.M.",MRI diffusion tractography study in individuals with schizotypal features: A pilot study,2014,Psychiatry Research - Neuroimaging,,
"Li, J; Kale Edmiston, E; Chen, K; Tang, Y; Ouyang, X; Jiang, Y; Fan, G; Ren, L; Liu, J; Zhou, Y; Jiang, W; Liu, Z; Xu, K; Wang, F.",A comparative diffusion tensor imaging study of corpus callosum subregion integrity in bipolar disorder and schizophrenia,2014,Psychiatry Research - Neuroimaging,,
"Chang, L.-C; El-Araby, E; Dang, V.Q; Dao, L.H.",GPU acceleration of nonlinear diffusion tensor estimation using CUDA and MPI,2014,Neurocomputing,,
"Dubray, B; Thureau, S; Nkhali, L; Modzelewski, R; Doyeux, K; Ruan, S; Vera, P.",FDG-PET imaging for radiotherapy target volume definition in lung cancer,2014,IRBM,,
"Finitsis, S; Kemmling, A; Havemeister, S; Thomalla, G; Fiehler, J; Brekenfeld, C.",Stability of ischemic core volume during the initial hours of acute large vessel ischemic stroke in a subgroup of mechanically revascularized patients,2014,Neuroradiology,,
"Moen, K.G; H’Çberg, A.K; Skandsen, T; Finnanger, T.G; Vik, A.",A Longitudinal magnetic resonance imaging study of the apparent diffusion coefficient values in corpus callosum during the first year after traumatic brain injury,2014,Journal of Neurotrauma,,
"Sun, H; Xin, J; Zhang, S; Guo, Q; Lu, Y; Zhai, W; Zhao, L; Peng, W; Wang, B.","Anatomical and functional volume concordance between FDG PET, and T2 and diffusion-weighted MRI for cervical cancer: a hybrid PET/MR study",2014,European Journal of Nuclear Medicine and Molecular Imaging,,
"Chuang, M.-T; Lin, C.-C; Sung, P.-S; Su, H.-C; Chen, Y.-C; Liu, Y.-S.",Diffusion-weighted imaging as an aid in the diagnosis of the etiology of medial longitudinal fasciculus syndrome,2014,Surgical and Radiologic Anatomy,,
"Dubois, J; Dehaene-Lambertz, G; Kulikova, S; Poupon, C; H’_ppi, P.S; Hertz-Pannier, L.","The early development of brain white matter: A review of imaging studies in fetuses, newborns and infants",2014,Neuroscience,,
"Shimizu, H; Nagami, S; Takahashi, N.",A case of cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL) in which lomerizine hydrochloride was suggested to prevent recurrent stroke,2014,Clinical Neurology,,
"Zakaria, R; Das, K; Bhojak, M; Radon, M; Sluming, V; Walker, C; Jenkinson, M.D.","The reliability of routine clinical post-processing software in assessing potential diffusion-weighted MRI biomarkers"" in brain metastases""",2014,Magnetic Resonance Imaging,,
"Durmus, T; Baur, A; Hamm, B.",Multiparametric Magnetic Resonance Imaging in the Detection of Prostate Cancer | Multiparametrische Magnetresonanztomografie zur Detektion des Prostatakarzinoms,2014,Fortschritte auf dem Gebiet der R’_ntgenstrahlen und der bildgebenden Verfahren,,
"Keller, S.S; O'Muircheartaigh, J; Traynor, C; Towgood, K; Barker, G.J; Richardson, M.P.","Thalamotemporal impairment in temporal lobe epilepsy: A combined MRI analysis of structure, integrity, and connectivity",2014,Epilepsia,,
"Becce, F; Pomoni, A; Uldry, E; Halkic, N; Yan, P; Meuli, R; Schmidt, S.",Alveolar echinococcosis of the liver: Diffusion-weighted MRI findings and potential role in lesion characterisation,2014,European Journal of Radiology,,
"Xiong, K.-l; Zhu, Y.-s; Zhang, W.-g.",Diffusion tensor imaging and magnetic resonance spectroscopy in traumatic brain injury: a review of recent literature,2014,Brain Imaging and Behavior,,
"Latif, M.A; Hawary, G.E; Badrawy, A.E; Alfy, H.E.",The role of MR diffusion in differentiation of malignant and benign hepatic focal lesions,2014,Egyptian Journal of Radiology and Nuclear Medicine,,
"Olszewska, D.A; Costello, D.J.",Assessment of the usefulness of magnetic resonance brain imaging in patients presenting with acute seizures,2014,Irish Journal of Medical Science,,
"Kunikowska, J; Grabowska, L; Toutounchi, S; Cieszanowski, A; Witkowska, M.",Retroperitoneal pheochromocytoma with thorax and bilateral neck chemodectoma in patients with multiorgan sarcoidosis,2014,Clinical Nuclear Medicine,,
"Lin, T.-H; Chiang, C.-W; Trinkaus, K; Spees, W.M; Sun, P; Song, S.-K.",Manganese-enhanced MRI (MEMRI) via topical loading of Mn2+ significantly impairs mouse visual acuity: A comparison with intravitreal injection,2014,NMR in Biomedicine,,
"Islim, F; Salik, A.E; Bayramoglu, S; Guven, K; Alis, H; Turhan, A.N.",Non-invasive detection of infection in acute pancreatic and acute necrotic collections with diffusion-weighted magnetic resonance imaging: preliminary findings,2014,Abdominal Imaging,,
"Barbagallo, G; Nicoletti, G; Cherubini, A; Trotta, M; Tallarico, T; Chiriaco, C; Nistic’_, R; Salvino, D; Bono, F; Valentino, P; Quattrone, A.",Diffusion tensor MRI changes in gray structures of the frontal-subcortical circuits in amyotrophic lateral sclerosis,2014,Neurological Sciences,,
"Portnoy, S; Fichtner, N.D; Dziegielewski, C; Stanisz, M.P; Stanisz, G.J.",In vitro detection of apoptosis using oscillating and pulsed gradient diffusion magnetic resonance imaging,2014,NMR in Biomedicine,,
"Lee, J.-T; Liu, H.-L; Yang, J.-T; Yang, S.-T; Lin, J.-R; Lee, T.-H.",Longitudinal MR imaging study in the prediction of ischemic susceptibility after cerebral hypoperfusion in rats: Influence of aging and hypertension,2014,Neuroscience,,
"Yau, P.L; Kluger, A; Borod, J.C; Convit, A.",Neural substrates of verbal memory impairments in adults with type 2 diabetes mellitus,2014,Journal of Clinical and Experimental Neuropsychology,,
"Zhang, F; Zhang, N.",Diffusion configuration of water molecules in diffusion weighted imaging,2014,Optik,,
"Lange, R.T; Shewchuk, J.R; Heran, M.K.S; Rauscher, A; Jarrett, M; Brubacher, J.R; Iverson, G.L.",To exclude or not to exclude: Further examination of the influence of white matter hyperintensities in diffusion tensor imaging research,2014,Journal of Neurotrauma,,
"Whisenant, J.G; Ayers, G.D; Loveless, M.E; Barnes, S.L; Colvin, D.C; Yankeelov, T.E.",Assessing reproducibility of diffusion-weighted magnetic resonance imaging studies in a murine model of HER2 + breast cancer,2014,Magnetic Resonance Imaging,,
"Jelescu, I.O; Ciobanu, L; Geffroy, F; Marquet, P; Le Bihan, D.",Effects of hypotonic stress and ouabain on the apparent diffusion coefficient of water at cellular and tissue levels in Aplysia,2014,NMR in Biomedicine,,
"Koskinen, E.A; Hakulinen, U; Brander, A.E; Luoto, T.M; Ylinen, A; ’_hman, J.E.",Clinical correlates of cerebral diffusion tensor imaging findings in chronic traumatic spinal cord injury,2014,Spinal Cord,,
"Okabe, T; Aida, N; Niwa, T; Nozawa, K; Shibasaki, J; Osaka, H.",Early magnetic resonance detection of cortical necrosis and acute network injury associated with neonatal and infantile cerebral infarction,2014,Pediatric Radiology,,
"Bivard, A; Levi, C; Krishnamurthy, V; Hislop-Jambrich, J; Salazar, P; Jackson, B; Davis, S; Parsons, M.",Defining acute ischemic stroke tissue pathophysiology with whole brain CT perfusion,2014,Journal of Neuroradiology,,
"Khan, A.R; Goubran, M; de Ribaupierre, S; Hammond, R.R; Burneo, J.G; Parrent, A.G; Peters, T.M.",Quantitative relaxometry and diffusion MRI for lateralization in MTS and non-MTS temporal lobe epilepsy,2014,Epilepsy Research,,
"Cappellani, R; Bergsland, N; Weinstock-Guttman, B; Kennedy, C; Carl, E; Ramasamy, D.P; Hagemeier, J; Dwyer, M.G; Patti, F; Zivadinov, R.",Diffusion tensor MRI alterations of subcortical deep gray matter in clinically isolated syndrome,2014,Journal of the Neurological Sciences,,
"Pievani, M; Paternic’_, D; Benussi, L; Binetti, G; Orlandini, A; Cobelli, M; Magnaldi, S; Ghidoni, R; Frisoni, G.B.",Pattern of structural and functional brain abnormalities in asymptomatic granulin mutation carriers,2014,Alzheimer's and Dementia,,
"Sahara, N; Perez, P.D; Lin, W.-L; Dickson, D.W; Ren, Y; Zeng, H; Lewis, J; Febo, M.",Age-related decline in white matter integrity in a mouse model of tauopathy: an inÎ_vivo diffusion tensor magnetic resonance imaging study,2014,Neurobiology of Aging,,
"Gaggl, W; Jesmanowicz, A; Prost, R.W.",High-resolution reduced field of view diffusion tensor imaging using spatially selective RF pulses,2014,Magnetic Resonance in Medicine,,
"Dhermain, F.","Radiotherapy of high-grade gliomas: Current standards and new concepts, innovations in imaging and radiotherapy, and new therapeutic approaches",2014,Chinese Journal of Cancer,,
"Rahal, J.P; Dandamudi, V.S; Safain, M.G; Malek, A.M.",Double waffle-cone technique using twin Solitaire detachable stents for treatment of an ultra-wide necked aneurysm,2014,Journal of Clinical Neuroscience,,
"Wolbers, J.G.","Novel strategies in glioblastoma surgery aim at safe, super-maximum resection in conjunction with local therapies",2014,Chinese Journal of Cancer,,
"Nakajima, N; Ueda, M; Nagayama, H; Katayama, Y.",Hypoglycemia-induced spontaneous unilateral jerking movement in bilateral internal capsule posterior limb abnormalities,2014,Journal of the Neurological Sciences,,
"Goyal, A; Sharma, R; Bhalla, A; Gamanagatti, S.",Diffusion-weighted MRI in detection of renal metastases,2014,BMJ Case Reports,,
"Kording, F; Weidensteiner, C; Zwick, S; Osterberg, N; Weyerbrock, A; Staszewski, O; von Elverfeldt, D; Reichardt, W.","Simultaneous assessment of vessel size index, relative blood volume, and vessel permeability in a mouse brain tumor model using a combined spin echo gradient echo echo-planar imaging sequence and viable tumor analysis",2014,Journal of Magnetic Resonance Imaging,,
"Mama, N; Ben Abdallah, A; Hasni, I; Kadri, K; Arifa, N; Ladib, M; Tlili-Graiess, K.",MR imaging of intracranial hemangiopericytomas,2014,Journal of Neuroradiology,,
"Zaw, T.M; Pope, W.B; Cloughesy, T.F; Lai, A; Nghiemphu, P.L; Ellingson, B.M.",Short-interval estimation of proliferation rate using serial diffusion MRI predicts progression-free survival in newly diagnosed glioblastoma treated with radiochemotherapy,2014,Journal of Neuro-Oncology,,
"Farjam, R; Tsien, C.I; Feng, F.Y; Gomez-Hassan, D; Hayman, J.A; Lawrence, T.S; Cao, Y.",Investigation of the diffusion abnormality index as a new imaging biomarker for early assessment of brain tumor response to radiation therapy,2014,Neuro-Oncology,,
"Thompson, D.K; Lee, K.J; Egan, G.F; Warfield, S.K; Doyle, L.W; Anderson, P.J; Inder, T.E.",Regional white matter microstructure in very preterm infants: Predictors and 7 year outcomes,2014,Cortex,,
"Panda, A.K; Bala, K; Bhirud, L.",Extrapyramidal syndrome,2014,BMJ Case Reports,,
"Sprinkhuizen, S.M; Ackerman, J.L; Song, Y.-Q.",Influence of bone marrow composition on measurements of trabecular microstructure using decay due to diffusion in the internal field MRI: Simulations and clinical studies,2014,Magnetic Resonance in Medicine,,
"Rathi, Y; Pasternak, O; Savadjiev, P; Michailovich, O; Bouix, S; Kubicki, M; Westin, C.-F; Makris, N; Shenton, M.E.",Gray matter alterations in early aging: A diffusion magnetic resonance imaging study,2014,Human Brain Mapping,,
"Wang, S.-y; Kuai, X.-p; Meng, X.-x; Jia, N.-y; Dong, H.",Comparison of MRI features for the differentiation of hepatic angiomyolipoma from fat-containing hepatocellular carcinoma,2014,Abdominal Imaging,,
"Leake, J.L; Hardman, R; Ojili, V; Thompson, I; Shanbhogue, A; Hernandez, J; Barentsz, J.",Prostate MRI: Access to and Current Practice of Prostate MRI in the United States,2014,JACR Journal of the American College of Radiology,,
"Daviaud, N; Garbayo, E; Lautram, N; Franconi, F; Lemaire, L; Perez-Pinzon, M; Montero-Menei, C.N.","Modeling nigrostriatal degeneration in organotypic cultures, a new ex vivo model of Parkinson's disease",2014,Neuroscience,,
"Barnea-Goraly, N; Frazier, T.W; Piacenza, L; Minshew, N.J; Keshavan, M.S; Reiss, A.L; Hardan, A.Y.",A preliminary longitudinal volumetric MRI study of amygdala and hippocampal volumes in autism,2014,Progress in Neuro-Psychopharmacology and Biological Psychiatry,,
"Moyano-Cuevas, J.L; Plaza, A; Dopido, I; Pagador, J.B; Sanchez-Margallo, J.A; S’çnchez, L.F; S’çnchez-Margallo, F.M.",3D segmentation of MRI of the liver using support vector machine,2014,IFMBE Proceedings,,
"Montin, E; Messina, A; Mainardi, L.T.",A full automatic method for the soft tissues sarcoma treatment response based on fuzzy logic,2014,IFMBE Proceedings,,
"Cheng, B; Braass, H; Ganos, C; Treszl, A; Biermann-Ruben, K; Hummel, F.C; M’_ller-Vahl, K; Schnitzler, A; Gerloff, C; M’_nchau, A; Thomalla, G.",Altered intrahemispheric structural connectivity in Gilles de la Tourette syndrome,2014,NeuroImage: Clinical,,
"Valkanova, V; Eguia Rodriguez, R; Ebmeier, K.P.",Mind over matter - what do we know about neuroplasticity in adults?,2014,International Psychogeriatrics,,
"Tamada, T; Sone, T; Jo, Y; Yamamoto, A; Ito, K.",Diffusion-weighted MRI and its role in prostate cancer,2014,NMR in Biomedicine,,
"Park, H.J; Kim, S.H; Jang, K.M; Lim, S; Kang, T.W; Park, H.C; Choi, D.",Added value of diffusion-weighted MRI for evaluating viable tumor of hepatocellular carcinomas treated with radiotherapy in patients with chronic liver disease,2014,American Journal of Roentgenology,,
"Tan, S.L.L; Rahmat, K; Rozalli, F.I; Mohd-Shah, M.N; Aziz, Y.F.A; Yip, C.H; Vijayananthan, A; Ng, K.H.",Differentiation between benign and malignant breast lesions using quantitative diffusion-weighted sequence on 3 T MRI,2014,Clinical Radiology,,
"Shukla-Dave, A; Hricak, H.",Role of MRI in prostate cancer detection,2014,NMR in Biomedicine,,
"Lim, K.S.",Diffusion-weighted MRI of hepatocellular carcinoma in cirrhosis,2014,Clinical Radiology,,
"Kim, M.Y; Kim, Y.K; Park, H.J; Park, M.J; Lee, W.J; Choi, D.",Diagnosis of focal liver lesions with gadoxetic acid-enhanced MRI: Is a shortened delay time possible by adding diffusion-weighted imaging?,2014,Journal of Magnetic Resonance Imaging,,
"Vivier, P.-H; Sallem, A; Beurdeley, M; Lim, R.P; Leroux, J; Caudron, J; Coudray, C; Liard, A; Michelet, I; Dacher, J.-N.",MRI and suspected acute pyelonephritis in children: Comparison of diffusion-weighted imaging with gadolinium-enhanced T1-weighted imaging,2014,European Radiology,,
"Alexiou, G.A; Zikou, A; Tsiouris, S; Goussia, A; Kosta, P; Papadopoulos, A; Voulgaris, S; Kyritsis, A.P; Fotopoulos, A.D; Argyropoulou, M.I.","Correlation of diffusion tensor, dynamic susceptibility contrast MRI and 99mTc-tetrofosmin brain SPECT with tumour grade and Ki-67 immunohistochemistry in glioma",2014,Clinical Neurology and Neurosurgery,,
"Rosenkrantz, A.B; Taneja, S.S.","Radiologist, be aware: Ten pitfalls that confound the interpretation of multiparametric prostate MRI",2014,American Journal of Roentgenology,,
"Goergen, S.K; Ang, H; Wong, F; Carse, E.A; Charlton, M; Evans, R; Whiteley, G; Clark, J; Shipp, D; Jolley, D; Paul, E; Cheong, J.L.Y.",Early MRI in term infants with perinatal hypoxic-ischaemic brain injury: Interobserver agreement and MRI predictors of outcome at 2 years,2014,Clinical Radiology,,
"Gahm, J.K; Kindlmann, G; Ennis, D.B.",The effects of noise over the complete space of diffusion tensor shape,2014,Medical Image Analysis,,
"Kumar, M; Nasrallah, I.M; Kim, S; Ittyerah, R; Pickup, S; Li, J; Parente, M.K; Wolfe, J.H; Poptani, H.",High-resolution magnetic resonance microscopy and diffusion tensor imaging to assess brain structural abnormalities in the murine mucopolysaccharidosis vii model,2014,Journal of Neuropathology and Experimental Neurology,,
"Javad, F; Warren, J.D; Micallef, C; Thornton, J.S; Golay, X; Yousry, T; Mancini, L.",Auditory tracts identified with combined fMRI and diffusion tractography,2014,NeuroImage,,
"Moon, H; Han, H; Lee, S.S; Kim, H.",A novel center-of-mass method to measure fluid velocity with MRI,2014,Biomedical Signal Processing and Control,,
"Quentin, M; SchimmolÕ_ler, L; Arsov, C; Rabenalt, R; Antoch, G; Albers, P; Blondin, D.",Increased signal intensity of prostate lesions on high b-value diffusion-weighted images as a predictive sign of malignancy,2014,European Radiology,,
"Li, B; Li, Q; Chen, C; Guan, Y; Liu, S.",A Systematic Review and Meta-analysis of the Accuracy of Diffusion-weighted MRI in the Detection of Malignant Pulmonary Nodules and Masses,2014,Academic Radiology,,
"Wang, C; Mugler III, J.P; De Lange, E.E; Patrie, J.T; Mata, J.F; Altes, T.A.",Lung injury induced by secondhand smoke exposure detected with hyperpolarized helium-3 diffusion MR,2014,Journal of Magnetic Resonance Imaging,,
"Lassel, E.A; Rao, R; Schwenke, C; Schoenberg, S.O; Michaely, H.J.",Diffusion-weighted imaging of focal renal lesions: A meta-analysis,2014,European Radiology,,
"Leeuwenburgh, M.M.N; Jensch, S; Gratama, J.W.C; Spilt, A; Wiarda, B.M; Van Es, H.W; Cobben, L.P.J; Bossuyt, P.M.M; Boermeester, M.A; Stoker, J.",MRI features associated with acute appendicitis,2014,European Radiology,,
"Steven, A.J; Zhuo, J; Melhem, E.R.",Diffusion kurtosis imaging: An emerging technique for evaluating the microstructural environment of the brain,2014,American Journal of Roentgenology,,
"Hompland, T; Ellingsen, C; Galappathi, K; Rofstad, E.K.",Connective tissue of cervical carcinoma xenografts: Associations with tumor hypoxia and interstitial fluid pressure and its assessment by DCE-MRI and DW-MRI,2014,Acta Oncologica,,
"Jadvar, H; Colletti, P.M.",Competitive advantage of PET/MRI,2014,European Journal of Radiology,,
"Abd-Alazeez, M; Ahmed, H.U; Arya, M; Charman, S.C; Anastasiadis, E; Freeman, A; Emberton, M; Kirkham, A.",The accuracy of multiparametric MRI in men with negative biopsy and elevated PSA level-Can it rule out clinically significant prostate cancer?,2014,Urologic Oncology: Seminars and Original Investigations,,
"Maller, J.J; Thomson, R.H.S; Pannek, K; Rose, S.E; Bailey, N; Lewis, P.M; Fitzgerald, P.B.",The (Eigen)value of diffusion tensor imaging to investigate depression after traumatic brain injury,2014,Human Brain Mapping,,
"Manganaro, L; Porpora, M.G; Vinci, V; Bernardo, S; Lodise, P; Sollazzo, P; Sergi, M.E; Saldari, M; Pace, G; Vittori, G; Catalano, C; Pantano, P.",Diffusion tensor imaging and tractography to evaluate sacral nerve root abnormalities in endometriosis-related pain: A pilot study,2014,European Radiology,,
"Nummenmaa, A; McNab, J.A; Savadjiev, P; Okada, Y; H’_m’_l’_inen, M.S; Wang, R; Wald, L.L; Pascual-Leone, A; Wedeen, V.J; Raij, T.",Targeting of white matter tracts with transcranial magnetic stimulation,2014,Brain Stimulation,,
