Authors,Title,Year,Sourcetitle,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited,Link,Document Type,Source,EID
"Kahn, J.B., Ward, R.D., Kahn, L.W., Rudy, N.M., Kandel, E.R., Balsam, P.D., Simpson, E.H.",Medial prefrontal lesions in mice impair sustained attention but spare maintenance of information in working memory,2012,Learning and Memory,19,11,,513,517,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84869226247&partnerID=40&md5=99d2cc4b9853f3dd209a8e542bfe7069,Article,Scopus,2-s2.0-84869226247
"Lucas, H.D., Taylor, J.R., Henson, R.N., Paller, K.A.",Many roads lead to recognition: Electrophysiological correlates of familiarity derived from short-term masked repetition priming,2012,Neuropsychologia,50,13,,3041,3052,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-84868303691&partnerID=40&md5=fa2a3b45935daa1b3bc285a591034ad3,Article,Scopus,2-s2.0-84868303691
"Addante, R.J., Ranganath, C., Olichney, J., Yonelinas, A.P.",Neurophysiological evidence for a recollection impairment in amnesia patients that leaves familiarity intact,2012,Neuropsychologia,50,13,,3004,3014,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-84868303980&partnerID=40&md5=c86941070794072f8c5832f6a443b05a,Article,Scopus,2-s2.0-84868303980
"Hirshhorn, M., Grady, C., Rosenbaum, R.S., Winocur, G., Moscovitch, M.",Brain regions involved in the retrieval of spatial and episodic details associated with a familiar environment: An fMRI study,2012,Neuropsychologia,50,13,,3094,3106,,10,http://www.scopus.com/inward/record.url?eid=2-s2.0-84868300153&partnerID=40&md5=7f55a1ad317d52bc9d92486ee2fa5d8c,Article,Scopus,2-s2.0-84868300153
"Farovik, A., Place, R.J., Miller, D.R., Eichenbaum, H.",Amygdala lesions selectively impair familiarity in recognition memory,2011,Nature Neuroscience,14,11,,1416,1417,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-80055014799&partnerID=40&md5=46a0d9c1c2323a0ad9cfdc089dd25797,Article,Scopus,2-s2.0-80055014799
"Wolf, D.H., Gerraty, R.T., Satterthwaite, T.D., Loughead, J., Campellone, T., Elliott, M.A., Turetsky, B.I., Gur, R.C., Gur, R.E.",Striatal intrinsic reinforcement signals during recognition memory: Relationship to response bias and dysregulation in schizophrenia,2011,Frontiers in Behavioral Neuroscience,,NOVEMBER,,,,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-84855317171&partnerID=40&md5=928c8327bd4548d17a306a18b381aab0,Article,Scopus,2-s2.0-84855317171
"Hirshhorn, M., Newman, L., Moscovitch, M.","Detailed descriptions of routes traveled, but not map-like knowledge, correlates with tests of hippocampal function in older adults",2011,Hippocampus,21,11,,1147,1151,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-80054864089&partnerID=40&md5=eb1c992b3a168e69c1014b0b3ae5daaa,Article,Scopus,2-s2.0-80054864089
"Tort, A.B.L., Komorowski, R., Kopell, N., Eichenbaum, H.",A mechanism for the formation of hippocampal neuronal firing patterns that represent what happens where,2011,Learning and Memory,18,11,,718,727,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-80054813069&partnerID=40&md5=d93f7098e180817b5338a2a0fca802d3,Article,Scopus,2-s2.0-80054813069
"Addis, D.R., Roberts, R.P., Schacter, D.L.",Age-related neural changes in autobiographical remembering and imagining,2011,Neuropsychologia,49,13,,3656,3669,,18,http://www.scopus.com/inward/record.url?eid=2-s2.0-80755128292&partnerID=40&md5=f8cd0e891fdc461b3956a541dce90d67,Article,Scopus,2-s2.0-80755128292
"Levin, E.D., Sledge, D., Roach, S., Petro, A., Donerly, S., Linney, E.",Persistent behavioral impairment caused by embryonic methylphenidate exposure in zebrafish,2011,Neurotoxicology and Teratology,33,6,,668,673,,10,http://www.scopus.com/inward/record.url?eid=2-s2.0-84855911114&partnerID=40&md5=9c6e5dbce0895a719b87a941c3b59219,Article,Scopus,2-s2.0-84855911114
"Moscovitch, M.",Consciousness and Memory in Amnesia,2010,Encyclopedia of Consciousness,,,,183,192,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84882521295&partnerID=40&md5=aec3b35e443aae1324791feff0299a7b,Book Chapter,Scopus,2-s2.0-84882521295
"Stern, C.E., Hasselmo, M.E.",Recognition memory,2010,Encyclopedia of Neuroscience,,,,49,54,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84882869418&partnerID=40&md5=49ace5836c1169c69858d115eec6ea1f,Book Chapter,Scopus,2-s2.0-84882869418
"Wolf, O.T.",Glucocorticoid Effects on Memory: The Positive and the Negative,2010,Encyclopedia of Stress,,,,166,171,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84882907790&partnerID=40&md5=ae1f57dd59e9eddd055b2b68b5f1971c,Book Chapter,Scopus,2-s2.0-84882907790
"Convit, A., Rueger, M., Wolf, O.T.",Diabetes type 2 and stress: Impact on memory and the hippocampus,2010,Encyclopedia of Neuroscience,,,,503,509,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-77949261241&partnerID=40&md5=c8d37e3365769872a2dc65a68d177c96,Book Chapter,Scopus,2-s2.0-77949261241
"Cohn, M., Moscovitch, M., Davidson, P.S.R.",Double dissociation between familiarity and recollection in Parkinson's disease as a function of encoding tasks,2010,Neuropsychologia,48,14,,4142,4147,,15,http://www.scopus.com/inward/record.url?eid=2-s2.0-78649451903&partnerID=40&md5=59e2ef715fca1ceb3a839282c318c876,Article,Scopus,2-s2.0-78649451903
"Rugg, M.D.",Event-Related Potentials (ERPs),2010,Encyclopedia of Neuroscience,,,,7,12,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84882890755&partnerID=40&md5=f831215bd420edaa8b1d6d8b5f7aa766,Book Chapter,Scopus,2-s2.0-84882890755
"Payne, J.D., Schacter, D.L., Propper, R.E., Huang, L.-W., Wamsley, E.J., Tucker, M.A., Walker, M.P., Stickgold, R.",The role of sleep in false memory formation,2009,Neurobiology of Learning and Memory,92,3,,327,334,,59,http://www.scopus.com/inward/record.url?eid=2-s2.0-69249215232&partnerID=40&md5=306718fdcc450d233925765dbbb86513,Article,Scopus,2-s2.0-69249215232
"Wolf, O.T.",Stress and memory in humans: Twelve years of progress?,2009,Brain Research,1293,,,142,154,,124,http://www.scopus.com/inward/record.url?eid=2-s2.0-70149109794&partnerID=40&md5=337c1f71ae22e4e8a14358a23d304938,Review,Scopus,2-s2.0-70149109794
"Hauer, D., Weis, F., Krauseneck, T., Vogeser, M., Schelling, G., Roozendaal, B.","Traumatic memories, post-traumatic stress disorder and serum cortisol levels in long-term survivors of the acute respiratory distress syndrome",2009,Brain Research,1293,,,114,120,,17,http://www.scopus.com/inward/record.url?eid=2-s2.0-70149100853&partnerID=40&md5=4a624cdbb07e2524b8a15f26736610a1,Article,Scopus,2-s2.0-70149100853
"Mello, P.B., Benetti, F., Cammarota, M., Izquierdo, I.",Physical exercise can reverse the deficit in fear memory induced by maternal deprivation,2009,Neurobiology of Learning and Memory,92,3,,364,369,,21,http://www.scopus.com/inward/record.url?eid=2-s2.0-69249210972&partnerID=40&md5=7d295de12fa4c53507570b6e641f63c2,Article,Scopus,2-s2.0-69249210972
"Gibbs, M.E., Bowser, D.N.","Astrocytes and interneurons in memory processing in the chick hippocampus: Roles for G-coupled protein receptors, GABA(B) and mGluR1",2009,Neurochemical Research,34,10,,1712,1720,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-69049090793&partnerID=40&md5=e02d49cb89ea1fb9e882f71499cf9121,Article,Scopus,2-s2.0-69049090793
"Quirarte, G.L., De La Teja, I.S.L., Casillas, M., Serafí_n, N., Prado-Alcalíç, R.A., Roozendaal, B.",Corticosterone infused into the dorsal striatum selectively enhances memory consolidation of cued water-maze training,2009,Learning and Memory,16,10,,586,589,,27,http://www.scopus.com/inward/record.url?eid=2-s2.0-70349693920&partnerID=40&md5=ec7d7913d0eba0ad8d8bb0017b44a6f3,Article,Scopus,2-s2.0-70349693920
"Topic, B., Oitzl, M.S., Meijer, O.C., Huston, J.P., De Souza Silva, M.A.",Differential susceptibility to extinction-induced despair and age-dependent alterations in the hypothalamic-pituitary-adrenal axis and neurochemical parameters,2008,Neuropsychobiology,58,4-Mar,,138,153,,8,http://www.scopus.com/inward/record.url?eid=2-s2.0-57649110865&partnerID=40&md5=b75c5f2975f1a0b8a9d4ccd4585a1634,Article,Scopus,2-s2.0-57649110865
"Jeltsch-David, H., Koenig, J., Cassel, J.-C.",Modulation of cholinergic functions by serotonin and possible implications in memory: General data and focus on 5-HT1A receptors of the medial septum,2008,Behavioural Brain Research,195,1,,86,97,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-53149132436&partnerID=40&md5=a6da5dfc8f588d670d9ef08300f5b0cd,Review,Scopus,2-s2.0-53149132436
"Cammarota, M., Bevilaqua, L.R., Medina, J.H., Izquierdo, I.",ERK1/2 and CaMKII-mediated events in memory formation: Is 5HT regulation involved?,2008,Behavioural Brain Research,195,1,,120,128,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-52949095421&partnerID=40&md5=0871954d43905f10dec8deed82ddea36,Article,Scopus,2-s2.0-52949095421
"Timofeeva, O.A., Sanders, D., Seemann, K., Yang, L., Hermanson, D., Regenbogen, S., Agoos, S., Kallepalli, A., Rastogi, A., Braddy, D., Wells, C., Perraut, C., Seidler, F.J., Slotkin, T.A., Levin, E.D.","Persistent behavioral alterations in rats neonatally exposed to low doses of the organophosphate pesticide, parathion",2008,Brain Research Bulletin,77,6,,404,411,,36,http://www.scopus.com/inward/record.url?eid=2-s2.0-57149132128&partnerID=40&md5=cf9fd3bd4740e846df4b4f3d2aa296a4,Article,Scopus,2-s2.0-57149132128
"Ramí_rez-Ruiz, B., Martí_, M.-J., Tolosa, E., Falcí_n, C., Bargallí_, N., Valldeoriola, F., Junquí©, C.",Brain response to complex visual stimuli in Parkinson's patients with hallucinations: A functional magnetic resonance imaging study,2008,Movement Disorders,23,16,,2335,2343,,25,http://www.scopus.com/inward/record.url?eid=2-s2.0-61449253115&partnerID=40&md5=eb168adebc5400b2eb43499a283daaf3,Article,Scopus,2-s2.0-61449253115
"Farovik, A., Dupont, L.M., Arce, M., Eichenbaum, H.","Medial prefrontal cortex supports recollection, but not familiarity, in the rat",2008,Journal of Neuroscience,28,50,,13428,13434,,30,http://www.scopus.com/inward/record.url?eid=2-s2.0-58149397547&partnerID=40&md5=5adc3fa28e141a0f3d631f02372ed643,Article,Scopus,2-s2.0-58149397547
"Cosentino, S., Metcalfe, J., Butterfield, B., Stern, Y.",Objective metamemory testing captures awareness of deficit in Alzheimer's disease,2007,Cortex,43,7,,1004,1019,,29,http://www.scopus.com/inward/record.url?eid=2-s2.0-34948882325&partnerID=40&md5=1d7a88af271a750839c3eedc0ef37543,Article,Scopus,2-s2.0-34948882325
"Giocomo, L.M., Hasselmo, M.E.",Neuromodulation by glutamate and acetylcholine can change circuit dynamics by regulating the relative influence of afferent input and excitatory feedback,2007,Molecular Neurobiology,36,2,,184,200,,58,http://www.scopus.com/inward/record.url?eid=2-s2.0-38449086184&partnerID=40&md5=fb15467db55158896bcce07469f0b34e,Review,Scopus,2-s2.0-38449086184
"Garoff-Eaton, R.J., Kensinger, E.A., Schacter, D.L.",The neural correlates of conceptual and perceptual false recognition,2007,Learning and Memory,14,10,,684,692,,19,http://www.scopus.com/inward/record.url?eid=2-s2.0-35448980741&partnerID=40&md5=2aa97f7aa0f76523a4660694c58ba380,Article,Scopus,2-s2.0-35448980741
"Van De Pol, L.A., Van Der Flier, W.M., Korf, E.S.C., Fox, N.C., Barkhof, F., Scheltens, P.",Baseline predictors of rates of hippocampal atrophy in mild cognitive impairment,2007,Neurology,69,15,,1491,1497,,41,http://www.scopus.com/inward/record.url?eid=2-s2.0-35148859365&partnerID=40&md5=786e5344b09b4dd79637bbc607e7fda1,Article,Scopus,2-s2.0-35148859365
"Morris, R.G., Salmon, D.P.","The centennial of Alzheimer's disease and the publication of ""íìber eine eigenartige erkankung der hirnrinde"" by Alí_is Alzheimer",2007,Cortex,43,7,,821,825,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-34948884074&partnerID=40&md5=144534330486b3366f8356de901b78d1,Editorial,Scopus,2-s2.0-34948884074
"Spina, S., Murrell, J.R., Huey, E.D., Wassermann, E.M., Pietrini, P., Grafman, J., Ghetti, B.",Corticobasal syndrome associated with the A9D Progranulin mutation,2007,Journal of Neuropathology and Experimental Neurology,66,10,,892,900,,43,http://www.scopus.com/inward/record.url?eid=2-s2.0-34948898536&partnerID=40&md5=0d181a76f9798fb801170d4dce60a348,Article,Scopus,2-s2.0-34948898536
"Schulz, D., Kouri, C., Huston, J.P.",Behavior on the water maze platform: Relationship to learning and open field exploration in aged and adult rats,2007,Brain Research Bulletin,74,4,,206,215,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-34548018579&partnerID=40&md5=dbd637151be90f62d0a9aca97a6cc330,Article,Scopus,2-s2.0-34548018579
"Yau, J.L.W., McNair, K.M., Noble, J., Brownstein, D., Hibberd, C., Morton, N., Mullins, J.J., Morris, R.G.M., Cobb, S., Seckl, J.R.",Enhanced hippocampal long-term potentiation and spatial learning in aged 11‘_-hydroxysteroid dehydrogenase type 1 knock-out mice,2007,Journal of Neuroscience,27,39,,10487,10496,,45,http://www.scopus.com/inward/record.url?eid=2-s2.0-34848923074&partnerID=40&md5=225295ad80fc25f288762a6f2a2f5e31,Article,Scopus,2-s2.0-34848923074
"Lubin, F.D., Sweatt, J.D.",The I‘_B Kinase Regulates Chromatin Structure during Reconsolidation of Conditioned Fear Memories,2007,Neuron,55,6,,942,957,,109,http://www.scopus.com/inward/record.url?eid=2-s2.0-34548585044&partnerID=40&md5=053faf67f15285a8e1814816b7eb695d,Article,Scopus,2-s2.0-34548585044
"Emre, M., Aarsland, D., Brown, R., Burn, D.J., Duyckaerts, C., Mizuno, Y., Broe, G.A., Cummings, J., Dickson, D.W., Gauthier, S., Goldman, J., Goetz, C., Korczyn, A., Lees, A., Levy, R., Litvan, I., McKeith, I., Olanow, W., Poewe, W., Quinn, N., Sampaio, C., Tolosa, E., Dubois, B.",Clinical diagnostic criteria for dementia associated with Parkinson's disease,2007,Movement Disorders,22,12,,1689,1707,,599,http://www.scopus.com/inward/record.url?eid=2-s2.0-35348939603&partnerID=40&md5=7d64aefde6df10f3431b0b4fd05cad25,Review,Scopus,2-s2.0-35348939603
"Kensinger, E.A., Schacter, D.L.",Remembering the specific visual details of presented objects: Neuroimaging evidence for effects of emotion,2007,Neuropsychologia,45,13,,2951,2962,,37,http://www.scopus.com/inward/record.url?eid=2-s2.0-34548504999&partnerID=40&md5=31f598d2ef204d79c2f8e848973845f4,Article,Scopus,2-s2.0-34548504999
"Barense, M.D., Gaffan, D., Graham, K.S.",The human medial temporal lobe processes online representations of complex objects,2007,Neuropsychologia,45,13,,2963,2974,,96,http://www.scopus.com/inward/record.url?eid=2-s2.0-34548480170&partnerID=40&md5=29baaaea876f147cc4e1127e53f0e7f2,Article,Scopus,2-s2.0-34548480170
"Nagai, T., Kamei, H., Dohniwa, M., Takayanagi, M., Suzuki, M., Matsuya, T., Nabeshima, T., Takuma, K., Yamada, K.",Involvement of hippocampal extracellular signal-regulated kinase 1/2 in spatial working memory in rats,2006,NeuroReport,17,13,,1453,1457,,13,http://www.scopus.com/inward/record.url?eid=2-s2.0-33748055747&partnerID=40&md5=4e824dc1705eefc5f1d0b3aabc6791a0,Article,Scopus,2-s2.0-33748055747
"Fliessbach, K., Weis, S., Klaver, P., Elger, C.E., Weber, B.",The effect of word concreteness on recognition memory,2006,NeuroImage,32,3,,1413,1421,,36,http://www.scopus.com/inward/record.url?eid=2-s2.0-33748054788&partnerID=40&md5=6ab08ecded7e2e9846b539ee640c3973,Article,Scopus,2-s2.0-33748054788
"Gardiner, J., Brandt, K., Vargha-Khadem, F., Baddeley, A., Mishkin, M.",Effects of level of processing but not of task enactment on recognition memory in a case of developmental amnesia,2006,Cognitive Neuropsychology,23,6,,930,948,,17,http://www.scopus.com/inward/record.url?eid=2-s2.0-33745446667&partnerID=40&md5=fdc2f8b5afeccc74ad9503b949b7a01a,Article,Scopus,2-s2.0-33745446667
"Goodrich-Hunsaker, N.J., Hunsaker, M.R., Kesner, R.P.",Dissociating the role of the parietal cortex and dorsal hippocampus for spatial information processing,2005,Behavioral Neuroscience,119,5,,1307,1315,,44,http://www.scopus.com/inward/record.url?eid=2-s2.0-27744521339&partnerID=40&md5=af080da2db8669c8c04f64e308cfaf0c,Article,Scopus,2-s2.0-27744521339
"Nuechterlein, K.H., Robbins, T.W., Einat, H.",Distinguishing separable domains of cognition in human and animal studies: What separations are optimal for targeting interventions? A summary of recommendations from breakout group 2 at the Measurement and Treatment Research to Improve Cognition in Schizophrenia New Approaches Conference,2005,Schizophrenia Bulletin,31,4,,870,874,,26,http://www.scopus.com/inward/record.url?eid=2-s2.0-26444587625&partnerID=40&md5=b9fa42ff29200e3769285e49dffc72cd,Conference Paper,Scopus,2-s2.0-26444587625
"Klaver, P., Fell, J., Dietl, T., Schí_r, S., Schaller, C., Elger, C.E., Ferníçndez, G.",Word imageability affects the hippocampus in recognition memory,2005,Hippocampus,15,6,,704,712,,14,http://www.scopus.com/inward/record.url?eid=2-s2.0-24944544885&partnerID=40&md5=2bdf11b7547e5eb3493c41f9a665c19f,Article,Scopus,2-s2.0-24944544885
"Lee, A.C.H., Buckley, M.J., Pegman, S.J., Spiers, H., Scahill, V.L., Gaffan, D., Bussey, T.J., Davies, R.R., Kapur, N., Hodges, J.R., Graham, K.S.",Specialization in the medial temporal lobe for processing of objects and scenes,2005,Hippocampus,15,6,,782,797,,131,http://www.scopus.com/inward/record.url?eid=2-s2.0-24944450760&partnerID=40&md5=e6a8fdd1349e0f6d72314f435f354667,Article,Scopus,2-s2.0-24944450760
"Phillips, J.A., Noppeney, U., Humphreys, G.W., Price, C.J.",Can segregation within the semantic system account for category-specific deficits?,2002,Brain,125,9,,2067,2080,,58,http://www.scopus.com/inward/record.url?eid=2-s2.0-0036724129&partnerID=40&md5=6396bd0719c131d268341a45aa76b9b7,Article,Scopus,2-s2.0-0036724129
"Glosser, G., Gallo, J., Duda, N., De Vries, J.J., Clark, C.M., Grossman, M.",Visual perceptual functions predict instrumental activities of daily living in patients with dementia,2002,"Neuropsychiatry, Neuropsychology and Behavioral Neurology",15,3,,198,206,,40,http://www.scopus.com/inward/record.url?eid=2-s2.0-0036713759&partnerID=40&md5=2347a531eaeb5f47c6015f826a3dbbb4,Article,Scopus,2-s2.0-0036713759
"Desmond, D.W., Moroney, J.T., Sano, M., Stern, Y.",Incidence of dementia after ischemic stroke: Results of a longitudinal study,2002,Stroke,33,9,,2254,2260,,125,http://www.scopus.com/inward/record.url?eid=2-s2.0-0036714559&partnerID=40&md5=3f186821602599a99854cd53ddbac36f,Article,Scopus,2-s2.0-0036714559
"Schmolck, H., Kensinger, E.A., Corkin, S., Squire, L.R.",Semantic knowledge in patient H.M. and other patients with bilateral medial and lateral temporal lobe lesions,2002,Hippocampus,12,4,,520,533,,79,http://www.scopus.com/inward/record.url?eid=2-s2.0-0035993480&partnerID=40&md5=7af57ff064fad0ce7bd355fab5fe797d,Article,Scopus,2-s2.0-0035993480
"Levin, E.D., Brucato, F.H., Crapo, J.D.",Molecular overexpression of extracellular superoxide dismutase increases the dependency of learning and memory performance on motivational state,2000,Behavior Genetics,30,2,,95,100,,9,http://www.scopus.com/inward/record.url?eid=2-s2.0-0033845329&partnerID=40&md5=6e011f0e0702137b0f470353d5c50e7b,Article,Scopus,2-s2.0-0033845329
"Adams, J.P., Roberson, E.D., English, J.D., Selcher, J.C., Sweatt, J.D.",MAPK regulation of gene expression in the central nervous system,2000,Acta Neurobiologiae Experimentalis,60,3,,377,394,,65,http://www.scopus.com/inward/record.url?eid=2-s2.0-0033847356&partnerID=40&md5=5cce1aad34f478575b0df3f094aad2a9,Conference Paper,Scopus,2-s2.0-0033847356
"Querní©, L., Eustache, F., Faure, S.","Interhemispheric inhibition, intrahemispheric activation, and lexical capacities of the right hemisphere: A tachistoscopic, divided visual-field study in normal subjects",2000,Brain and Language,74,2,,171,190,,14,http://www.scopus.com/inward/record.url?eid=2-s2.0-0033843295&partnerID=40&md5=2f6a339f280da1210dd80e6657b4f6d1,Article,Scopus,2-s2.0-0033843295
"Howard, M.A., Cowell, P.E., Boucher, J., Broks, P., Mayes, A., Farrant, A., Roberts, N.",Convergent neuroanatomical and behavioural evidence of an amygdala hypothesis of autism,2000,NeuroReport,11,13,,2931,2935,,272,http://www.scopus.com/inward/record.url?eid=2-s2.0-0034637799&partnerID=40&md5=790a010e76dbd3f6bb549bb0860d3308,Article,Scopus,2-s2.0-0034637799
"Summers, M.J., Crowe, S.F., Ng, K.T.",Modification of a weak learning experience by memory retrieval in the day-old chick,2000,Behavioral Neuroscience,114,4,,713,719,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-0033849430&partnerID=40&md5=4c460bba899effeb1faa554369301cb8,Article,Scopus,2-s2.0-0033849430
"Hasení_hrl, R.U., Jentjens, O., De Souza Silva, M.A., Tomaz, C., Huston, J.P.",Anxiolytic-like action of neurokinin substance P administered systemically or into the nucleus basalis magnocellularis region,1998,European Journal of Pharmacology,354,3-Feb,,123,133,,62,http://www.scopus.com/inward/record.url?eid=2-s2.0-0344734161&partnerID=40&md5=1bc3f7c2b44a00e37af6e245a7e8ec38,Article,Scopus,2-s2.0-0344734161
"Wolf, O.T., Kudielka, B.M., Hellhammer, D.H., Hellhammer, J., Kirschbaum, C.",Opposing effects of DHEA replacement in elderly subjects on declarative memory and attention after exposure to a laboratory stressor,1998,Psychoneuroendocrinology,23,6,,617,629,,63,http://www.scopus.com/inward/record.url?eid=2-s2.0-0032144265&partnerID=40&md5=947cc3914dfee5dd8e00e5d190aa11c2,Article,Scopus,2-s2.0-0032144265
"Goldblum, M.-C., Gomez, C.-M., Barba, G.D., Boller, F., Deweer, B., Hahn, V., Dubois, B.",The influence of semantic and perceptual encoding on recognition memory in Alzheimer's disease,1998,Neuropsychologia,36,8,,717,729,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-0031670298&partnerID=40&md5=0720d61681a953db33c515a5a32f33f8,Article,Scopus,2-s2.0-0031670298
"Ross, J., Tervaniemi, M., Ní_í_tí_nen, R.",Neural mechanisms of the octave illusion: Electrophysiological evidence for central origin,1997,NeuroReport,8,1,,303,306,,18,http://www.scopus.com/inward/record.url?eid=2-s2.0-0030932703&partnerID=40&md5=fe001d194e2206cb4a5315114ab8a871,Article,Scopus,2-s2.0-0030932703
"Tendolkar, I., Doyle, M.C., Rugg, M.D.",An event-related potential study of retroactive interference in memory,1997,NeuroReport,8,2,,501,506,,28,http://www.scopus.com/inward/record.url?eid=2-s2.0-0030889155&partnerID=40&md5=f6ebd0565fb4a30f0ad18b6ca15e0a9d,Article,Scopus,2-s2.0-0030889155
"Fletcher, P.C., Frith, C.D., Rugg, M.D.",The functional neuroanatomy of episodic memory,1997,Trends in Neurosciences,20,5,,213,218,,233,http://www.scopus.com/inward/record.url?eid=2-s2.0-0031149355&partnerID=40&md5=55cbac7ae1a8fb8e9b81f41446fdcae8,Review,Scopus,2-s2.0-0031149355
"Zhao, W.Q., Feng, H., Bennett, P., Ng, K.T.",Inhibition of intermediate-term memory following passive avoidance training in neonate chicks by a presynaptic cholinergic blocker,1997,Neurobiology of Learning and Memory,67,3,,207,213,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-0031148134&partnerID=40&md5=d7a2483dfb6d23c28422417945c1e27e,Article,Scopus,2-s2.0-0031148134
