Authors,Title,Year,Sourcetitle,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited,Link,Document Type,Source,EID
"Moseley, Michael",Magnetic resonance diffusion imaging in experimental brain research,1990,Proceedings of the Annual Conference on Engineering in Medicine and Biology,,pt 1,,69,70,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025549661&partnerID=40&md5=3d0b69748e729e5689f318b02bc52138,Conference Paper,Scopus,2-s2.0-0025549661
"Chenevert, Thomas L; Pipe, James G; Brunberg, James A.",Perfusion and diffusion measurements in vivo with insensitivity to motion artifact,1990,Proceedings of the Annual Conference on Engineering in Medicine and Biology,,pt 1,,73,74,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025568511&partnerID=40&md5=196400951b72c3f1cea0ea67b45dde6c,Conference Paper,Scopus,2-s2.0-0025568511
"Samulski, T.V; MacFall, J; LeBihan, D.",Non-invasive thermometry for local regional hyperthermia using magnetic resonance imaging of intra-voxel incoherent motion,1990,"American Society of Mechanical Engineers, Heat Transfer Division, (Publication) HTD",147,,,1,9,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025665061&partnerID=40&md5=732ff5a752e67e85e421f9bff9b8a426,Conference Paper,Scopus,2-s2.0-0025665061
"Moonen, C.T.W; Van Zijl, P.C.M; Frank, J.A; Le Bihan, D; Becker, E.D.",Functional magnetic resonance imaging in medicine and physiology,1990,Science,250,4977,,53,61,,66,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025026489&partnerID=40&md5=1a3584e2da59ec6ffcb10876670780ad,Article,Scopus,2-s2.0-0025026489
"Hashimoto, Y; Moriya, F; Miyaishi, S; Ishizu, H.",A case of town-gas intoxication occurring to a family,1990,Japanese Journal of Legal Medicine,44,6-May,,475,480,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025647477&partnerID=40&md5=4da8bf3ad84d32b46f2c8ef48ec8fef2,Conference Paper,Scopus,2-s2.0-0025647477
"Pizer, Stephen M; Gauch, John M; Cullip, Timothy J; Fredericksen, Robin E.",Descriptions of image intensity structure via scale and symmetry,1990,Proceedings of the First Conference on Visualization in Biomedical Computing,,,,94,101,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025566459&partnerID=40&md5=bbc09b6e7ea82230e0be0d4fc2217165,Conference Paper,Scopus,2-s2.0-0025566459
"Delannoy, J; LeBihan, D; Hoult, D.I; Levin, R.L.",Hyperthermia system combined with a magnetic resonance imaging unit,1990,Medical Physics,17,5,,855,860,,27,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025084931&partnerID=40&md5=b4fec6c2c173fa18170b7d4141fa8601,Article,Scopus,2-s2.0-0025084931
"Matwiyoff, N.A; Gasparovic, C; Mazurchuk, R; Matwiyoff, G.","The line shapes of the water proton resonances of red blood cells containing carbonyl hemoglobin, deoxyhemoglobin, and methemoglobin: Implications for the interpretation of proton MRI at fields of 1.5 T and below",1990,Magnetic Resonance Imaging,8,3,,295,301,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025142585&partnerID=40&md5=7eaf0a2500b76e98abec6c815f16bcdb,Article,Scopus,2-s2.0-0025142585
"Moseley, M.E; Cohen, Y; Mintorovitch, J; Chileuitt, L; Shimizu, H; Kucharczyk, J; Wendland, M.F; Weinstein, P.R.",Early detection of regional cerebral ischemia in cats: Comparison of diffusion- and T2-weighted MRI and spectroscopy,1990,Magnetic Resonance in Medicine,14,2,,330,346,,1019,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024999038&partnerID=40&md5=c8264990efe5cbc682d6db5401d3ba78,Article,Scopus,2-s2.0-0024999038
"Le Bihan, D.",Magnetic resonance imaging of perfusion,1990,Magnetic Resonance in Medicine,14,2,,283,292,,21,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024992865&partnerID=40&md5=3272f661cc4a93ba197bf3c53678faaf,Conference Paper,Scopus,2-s2.0-0024992865
"Koenig, S.H; Brown III, R.D; Spiller, M; Lundbom, N.",Relaxometry of brain: Why white matter appears bright in MRI,1990,Magnetic Resonance in Medicine,14,3,,482,495,,95,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025145685&partnerID=40&md5=13dbf0da1b142a1c7392c9284bb8f227,Article,Scopus,2-s2.0-0025145685
"Doran, M; Bydder, G.M.",Magnetic resonance: Perfusion and diffusion imaging,1990,Neuroradiology,32,5,,392,398,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025187892&partnerID=40&md5=f5cd9117c75841f4c8cd61b9294c0d7d,Article,Scopus,2-s2.0-0025187892
"Haase, A.","Snapshot FLASH MRI. Applications to T1, T2, and chemical-shift imaging",1990,Magnetic Resonance in Medicine,13,1,,77,89,,374,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025213880&partnerID=40&md5=4502b8ad37e34cbca60a38249e078e7e,Article,Scopus,2-s2.0-0025213880
"Lavayssiere, R; Cabee, A.-E.",Diffusion of MRI in the world | DIFFUSION DE L'IRM DANS LE MONDE,1990,Journal de Radiologie,71,7-Jun,,385,399,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025167415&partnerID=40&md5=e7d14a6e2e385b837a538e4405f7a716,Article,Scopus,2-s2.0-0025167415
"Chrzanowski, R; Gutzwiller, F; Bapst, L; Koch, P; Gautschi, H; Muller, R; Frei, A.",Diffusion of MRI in the decentralized health care system of Switzerland,1990,Schweizer Spital,54,9,,40,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025082041&partnerID=40&md5=1060024f112e5439fd80942d2b9d2427,Conference Paper,Scopus,2-s2.0-0025082041
"Avram, H.E; Chen, J.H.",Separation of diffusion and perfusion in the brain of a rat by MRI,1989,Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings,11 pt 2,,,599,600,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024883709&partnerID=40&md5=1e876c634607b80b70346a6b521a1af9,Conference Paper,Scopus,2-s2.0-0024883709
"Griffey, R.H.",Tumor characterization using unconventional MR modalities,1989,Investigative Radiology,24,12,,985,987,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024806774&partnerID=40&md5=7af8f7772300caf3ac4cc2b25ae44158,Conference Paper,Scopus,2-s2.0-0024806774
"Kwiat, D; Einav, S; Elad, D.",MRI estimation of turbulent abnormalities in blood flow by improved multiparametric encoding gradients,1989,Computers in Cardiology,,,,219,221,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024720752&partnerID=40&md5=9a8a1b428bc35166be1c3e249978dd5a,Conference Paper,Scopus,2-s2.0-0024720752
"Smith, E.G; Rockliffe, J.W; Riley, P.I.",Fourier transform-pulsed field gradient and 1D NMR imaging studies of molecular and ionic diffusion in aqueous dispersions,1989,Journal of Colloid And Interface Science,131,1,,29,37,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-33748624981&partnerID=40&md5=52382ac9aa2c38fc153d3b8b16f40822,Article,Scopus,2-s2.0-33748624981
"Dougherty, E; Hagin, D.",Hospitals cannot afford to be without access to MRI.,1989,Health care strategic management,7,5,,"1, 20",23,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024671409&partnerID=40&md5=c60b0257de0dcd365438383fa6d52e79,Article,Scopus,2-s2.0-0024671409
"Itai, Y.",MRI and MRS in the diagnosis of cancer,1989,Japanese Journal of Cancer and Chemotherapy,16,3 Pt 2,,639,645,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024633248&partnerID=40&md5=79de01df1cb79142dcbeafff5d81347c,Review,Scopus,2-s2.0-0024633248
"Merboldt, K.-D; Bruhn, H; Frahm, J; Gyngell, M.L; Hanicke, W; Deimling, M.",MRI of 'diffusion' in the human brain: New results using a modified CE-FAST sequence,1989,Magnetic Resonance in Medicine,9,3,,423,429,,24,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024542214&partnerID=40&md5=39c6655b3d7e19888ae5533996cc96d3,Article,Scopus,2-s2.0-0024542214
"Merboldt, K.-D; Hanicke, W; Gyngell, M.L; Frahm, J; Bruhn, H.",The influence of flow and motion in MRI of diffusion using a modified CE-FAST sequence,1989,Magnetic Resonance in Medicine,12,2,,198,208,,18,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024436514&partnerID=40&md5=b5a1640ca886701746c98538bdbc01f4,Article,Scopus,2-s2.0-0024436514
"Larson, E.B; Kent, D.L.",The relevance of socioeconomic and health policy issues to clinical research. The case of MRI and neuroradiology,1989,International Journal of Technology Assessment in Health Care,5,2,,195,206,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024361985&partnerID=40&md5=240f88d4174abe2c43bb69deb48c9e3e,Review,Scopus,2-s2.0-0024361985
"Brooks, D.J; Luthert, P; Gadian, D; Marsden, C.D.",Does signal-attenuation of high-field T2-weighted MRI of the brain reflect regional cerebral iron deposition? Observations on the relationship between regional cerebral water proton T2 values and iron levels,1989,Journal of Neurology Neurosurgery and Psychiatry,52,1,,108,111,,47,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024533345&partnerID=40&md5=e7275b735247dd1ff75da66bb1add126,Article,Scopus,2-s2.0-0024533345
"Matsumura, K; Nakano, I; Fukuda, N; Ikehira, H; Tateno, Y; Aoki, Y.",Duchenne muscular dystrophy carriers. Proton spin-lattice relaxation times of skeletal muscles on magnetic resonance imaging,1989,Neuroradiology,31,5,,373,376,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024428575&partnerID=40&md5=49418da0156aff474dfea07c6ec2ebcb,Article,Scopus,2-s2.0-0024428575
"Milliren, J.W.",Health policy analysis and magnetic resonance imaging. The case of The New York State Demonstration Project,1989,Clinical Imaging,13,1,,16,28,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024558378&partnerID=40&md5=c19a0331c37f822bd8c0d61fc6a6468b,Article,Scopus,2-s2.0-0024558378
"Burns, M.",Guideline report. Medical ultrasound imaging: progress and opportunities.,1989,Hospital technology series,8,8,,1,55,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024554905&partnerID=40&md5=382226bfaa68fa7f5e1943a284b6d1bf,Article,Scopus,2-s2.0-0024554905
"Peddecord, K.M; Janon, E.A; Robins, J.M.",Substitution of magnetic resonance imaging for computed tomography. An exploratory study,1988,International Journal of Technology Assessment in Health Care,4,4,,573,591,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024270017&partnerID=40&md5=42f53c76b369194a9fc539d362d438b7,Review,Scopus,2-s2.0-0024270017
"LeBihan, D; Delannoy, J; Levin, R.L.",Non-invasive temperature mapping during hyperthermia by MR imaging of molecular diffusion,1988,IEEE/Engineering in Medicine and Biology Society Annual Conference,10,pt 1,,342,343,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0024111460&partnerID=40&md5=a74b06b570ffc8393b24288c989ffd00,Conference Paper,Scopus,2-s2.0-0024111460
"Durick, D.A; Walsh Phillips, M.L.",Diffusion of an innovation: Adoption of MRI,1988,Radiologic Technology,59,3,,239,241,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023857783&partnerID=40&md5=dd84fb6fa237e2f1405c412e02c4eaa3,Article,Scopus,2-s2.0-0023857783
"Dixon, D; Johnson, G.A; Cofer, G.P; Hedlund, L.W; Maronpot, R.R.",Magnetic resonance imaging (MRI): A new tool in experimental toxicologic pathology,1988,Toxicologic Pathology,16,3,,387,391,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023718856&partnerID=40&md5=069de0d04ebfa3ca881d93a173d1c188,[No source information available],Scopus,2-s2.0-0023718856
"Le Bihan, D; Breton, E.",MOLECULAR DIFFUSION STUDIES USING MRI.,1987,IEEE/Engineering in Medicine and Biology Society Annual Conference,,,,1692,1693,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023543979&partnerID=40&md5=fb1d67a82287ed923c1f730c2acbb5b0,Conference Paper,Scopus,2-s2.0-0023543979
"Le Bas, J.F; Benabid, A.L; Camuset, J.P; Mercier, C; Crouzet, G; Vasdev, A; Pasquier, B.",MRI in the prestereotactic evaluation of intracerebral tumours. Comparison with CT | L'IRM DANS LE BILAN PRESTEREOTAXIQUE DES TUMEURS INTRACEREBRALES. CONFRONTATION AVEC LA TDM,1987,Journal of Neuroradiology,14,3,,203,221,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023547369&partnerID=40&md5=e36dfa26cc184ddd29887df50aea90c7,Article,Scopus,2-s2.0-0023547369
"Hillman, B.J; Neu, C.R; Winkler, J.D; Aroesty, J; Rettig, R.A; Williams, A.P.",The diffusion of magnetic resonance imaging scanners in a changing U.S. health care environment,1987,International Journal of Technology Assessment in Health Care,3,4,,545,559,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023575581&partnerID=40&md5=604dd423a9b7eacec6eb6fc453a06b55,Article,Scopus,2-s2.0-0023575581
"Le Bihan, D; Breton, E; Aubin, M.L; Lallemand, D; Vignaud, J.",Study of cerebrospinal fluid dynamics by MRI of Intravoxel Incoherent Motions (IVIM) | ETUDE DE LA DYNAMIQUE DU LIQUIDE CEPHALO-RACHIDIEN PAR IRM DES MOUVEMENTS INCOHERENTS INTRA-VOXELIENS (IVIM),1987,Journal of Neuroradiology,14,4,,388,395,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023555577&partnerID=40&md5=a105b2d153ea332fa31bf19fc7c4ebb8,Article,Scopus,2-s2.0-0023555577
"Le Bihan, D; Breton, E; Lallemand, D; Desbleds, M.T; Aubin, M.L; Vignaud, J; Roger, B.",Contribution of Intravoxel Incoherent Motion (IVIM) imaging to neuroradiology | APPORTS DE L'IMAGERIE DES MOUVEMENTS INCOHERENTS INTRA-VOXELIENS (IVIM) EN NEURORADIOLOGIE,1987,Journal of Neuroradiology,14,4,,295,312,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023544708&partnerID=40&md5=3cf8e9fb0b1b8093fe8e816b55325f14,Article,Scopus,2-s2.0-0023544708
"Tsuchiyama, S.",The forces driving MRI. The manufacturers' role.,1987,Administrative radiology : AR,6,4,,26,30,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023321634&partnerID=40&md5=945991d238cf1c1a7f0f9068a1ef5500,Article,Scopus,2-s2.0-0023321634
"Steinberg, E.P; diMonda, R.",Guideline report. Projecting MRI utilization: two new approaches.,1987,Hospital technology series,6,13,,1,37,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023297752&partnerID=40&md5=7d93edf16075c18c0fdb40df09dbdb5b,Article,Scopus,2-s2.0-0023297752
"Thomsen, C; Henriksen, O; Ring, P.",In vivo measurement of water self diffusion in the human brain by magnetic resonance imaging,1987,Acta Radiologica,28,3,,353,361,,56,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023264631&partnerID=40&md5=95d36c25bd744732c353af14f5211b81,Article,Scopus,2-s2.0-0023264631
"Rigamonti, D; Drayer, B.P; Johnson, P.C; Hadley, M.N; Zabramski, J; Spetzler, R.F.",The MRI appearance of cavernous malformations (angiomas),1987,Journal of Neurosurgery,67,4,,518,524,,257,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023272725&partnerID=40&md5=c520773736f60e0e21b1c0e7b2c2c065,Article,Scopus,2-s2.0-0023272725
"Majumdar, S; Gore, J.C.",Effects of selective pulses on the measurement of T2 and apparent diffusion in multiecho MRI,1987,Magnetic Resonance in Medicine,4,2,,120,128,,10,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023091772&partnerID=40&md5=aad85c27d69c42f6165a7f11035766a3,Article,Scopus,2-s2.0-0023091772
