Authors,Title,Year,Sourcetitle,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited,Link,Document Type,Source,EID
"Sala-Llonch, R., JunquÃ©, C., Arenaza-Urquijo, E.M., Vidal-PiÃ±eiro, D., Valls-Pedret, C., Palacios, E.M., DomÃ¨nech, S., SalvÃ , A., BargallÃ_, N., BartrÃ©s-Faz, D.",Changes in whole-brain functional networks and memory performance in aging,2014,Neurobiology of Aging,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84899776053&partnerID=40&md5=9f57bcc95125a564260c187a1216607b,Article in Press,Scopus,2-s2.0-84899776053
"Barsegyan, A., McGaugh, J.L., Roozendaal, B.",Noradrenergic activation of the basolateral amygdala modulates the consolidation of object-in-context recognition memory,2014,Frontiers in Behavioral Neuroscience,8,MAY,160,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84900396102&partnerID=40&md5=7fc3506860c9905f623293829ab9e484,Article,Scopus,2-s2.0-84900396102
"Muse, J., Emery, M., Sambataro, F., Lemaitre, H., Tan, H.-Y., Chen, Q., Kolachana, B.S., Das, S., Callicott, J.H., Weinberger, D.R., Mattay, V.S.",WWC1 genotype modulates age-related decline in episodic memory function across the adult life Span,2014,Biological Psychiatry,75,9,,693,700,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84898662832&partnerID=40&md5=9a685972e9840f2068fef4ffdac3c4b3,Article,Scopus,2-s2.0-84898662832
"Fernandes, C.P.D., Westlye, L.T., Giddaluru, S., Christoforou, A., Kauppi, K., Adolfsson, R., Nilsson, L.-G., Nyberg, L., Lundervold, A.J., Reinvang, I., Steen, V.M., Le Hellard, S., Espeseth, T.",Lack of association of the rs1344706 ZNF804A variant with cognitive functions and DTI indices of white matter microstructure in two independent healthy populations,2014,Psychiatry Research - Neuroimaging,222,2-Jan,,60,66,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84898822502&partnerID=40&md5=595bdbf84c172f2340c732836f884e00,Article,Scopus,2-s2.0-84898822502
"Evuarherhe, O., Barker, G.R., Savalli, G., Warburton, E.C., Brown, M.W.",Early memory formation disrupted by atypical PKC inhibitor ZIP in the medial prefrontal cortex but not hippocampus,2014,Hippocampus,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84899042680&partnerID=40&md5=cceb067b5231e67983b85b23c73680fb,Article in Press,Scopus,2-s2.0-84899042680
"Torkaman-Boutorabi, A., Danyali, F., Oryan, S., Ebrahimi-Ghiri, M., Zarrindast, M.-R.",Hippocampal Î±-adrenoceptors involve in the effect of histamine on spatial learning,2014,Physiology and Behavior,129,,,17,24,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84895825650&partnerID=40&md5=452155acf86249d5480a557d660d8a0d,Article,Scopus,2-s2.0-84895825650
"Robbins, T.W., Cools, R.",Cognitive deficits in Parkinson's disease: A cognitive neuroscience perspective,2014,Movement Disorders,29,5,,597,607,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84898835450&partnerID=40&md5=cf83fe80e189dc1e57925977ad08330c,Review,Scopus,2-s2.0-84898835450
"Hindley, E.L., Nelson, A.J.D., Aggleton, J.P., Vann, S.D.",The rat retrosplenial cortex is required when visual cues are used flexibly to determine location,2014,Behavioural Brain Research,263,,,98,107,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896707205&partnerID=40&md5=1d99424f0db725f80b571560e2ef8391,Article,Scopus,2-s2.0-84896707205
"Fauvel, B., Groussard, M., ChÃ©telat, G., Fouquet, M., Landeau, B., Eustache, F., Desgranges, B., Platel, H.",Morphological brain plasticity induced by musical expertise is accompanied by modulation of functional connectivity at rest,2014,NeuroImage,90,,,179,188,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893633956&partnerID=40&md5=1773563b34cc1de9f5c20b94fcf0feda,Article,Scopus,2-s2.0-84893633956
"Nasehi, M., Nasehi, M., Rahmani-Nia, F., Mirzaei, B., Torabi-Nami, M., Zarrindast, M.-R.",Swimming improves the emotional memory deficit by scopolamine via mu opioid receptors,2014,Physiology and Behavior,128,,,237,246,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896810100&partnerID=40&md5=59c9e0e92d63fc61b3d48e7b1c0e223b,Article,Scopus,2-s2.0-84896810100
"Spalletta, G., Robinson, R.G., Cravello, L., Pontieri, F.E., Pierantozzi, M., Stefani, A., Long, J.D., Caltagirone, C., Assogna, F.",The early course of affective and cognitive symptoms in de novo patients with Parkinson's disease,2014,Journal of Neurology,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84897168224&partnerID=40&md5=5d0429c0944e741013f328826f116b43,Article in Press,Scopus,2-s2.0-84897168224
"Binder, S., Berg, K., Gasca, F., Lafon, B., Parra, L.C., Born, J., Marshall, L.",Transcranial Slow Oscillation Stimulation During Sleep Enhances Memory Consolidation in Rats,2014,Brain Stimulation,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896689169&partnerID=40&md5=f81410c74fbfec201f5111aded6c9cc9,Article in Press,Scopus,2-s2.0-84896689169
"Bertoux, M., De Souza, L.C., Corlier, F., Lamari, F., Bottlaender, M., Dubois, B., Sarazin, M.",Two distinct amnesic profiles in behavioral variant frontotemporal dementia,2014,Biological Psychiatry,75,7,,582,588,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896394250&partnerID=40&md5=d8278657e614b8c6c3efd17c9561fe4e,Article,Scopus,2-s2.0-84896394250
"Kauppi, K., Nilsson, L.-G., Persson, J., Nyberg, L.",Additive genetic effect of APOE and BDNF on hippocampus activity,2014,NeuroImage,89,,,306,313,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892892084&partnerID=40&md5=4181af57794aa8bd9a1706356bbc880e,Article,Scopus,2-s2.0-84892892084
"Yu, L., Boyle, P.A., Leurgans, S., Schneider, J.A., Bennett, D.A.",Disentangling the effects of age and APOE on neuropathology and late life cognitive decline,2014,Neurobiology of Aging,35,4,,819,826,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891372284&partnerID=40&md5=ce409ba6811adf1911b0a4bf68212523,Article,Scopus,2-s2.0-84891372284
"Nyberg, L., Andersson, M., Kauppi, K., Lundquist, A., Persson, J., Pudas, S., Nilsson, L.-G.",Age-related and genetic modulation of frontal cortex efficiency,2014,Journal of Cognitive Neuroscience,26,4,,746,754,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896853084&partnerID=40&md5=f8f7fc1f6d761ba6d39cf4d39eba16e1,Article,Scopus,2-s2.0-84896853084
"Webb, T.J., Rolls, E.T.",Deformation-specific and deformation-invariant visual object recognition: Pose vs. identity recognition of people and deforming objects,2014,Frontiers in Computational Neuroscience,8,1-Apr,37,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84897456565&partnerID=40&md5=77fff3198b23106a13eef088abb78536,Article,Scopus,2-s2.0-84897456565
"Hunkin, N.M., Awad, M., Mayes, A.R.",Memory for between-list and within-list information in amnesic patients with temporal lobe and diencephalic lesions,2014,Journal of Neuropsychology,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896060828&partnerID=40&md5=3a02f2ed8d60ec32f469ba259e1fa677,Article in Press,Scopus,2-s2.0-84896060828
"Baggio, H.-C., Sala-Llonch, R., Segura, B., Marti, M.-J., Valldeoriola, F., Compta, Y., Tolosa, E., JunquÃ©, C.",Functional brain networks and cognitive deficits in Parkinson's disease,2014,Human Brain Mapping,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896060936&partnerID=40&md5=72d12c057580bc1f0e161916c8b1395a,Article in Press,Scopus,2-s2.0-84896060936
"LaJoie, R., Landeau, B., Perrotin, A., Bejanin, A., Egret, S., PÃ©lerin, A., MÃ©zenge, F., Belliard, S., deLaSayette, V., Eustache, F., Desgranges, B., ChÃ©telat, G.",Intrinsic connectivity identifies the hippocampus as a main crossroad between alzheimer's and semantic dementia-targeted networks,2014,Neuron,81,6,,1417,1428,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896295344&partnerID=40&md5=4e89039f697787b43cfac8f4b9775334,Article,Scopus,2-s2.0-84896295344
"Roesler, R., Reolon, G.K., Maurmann, N., Schwartsmann, G., SchrÃ¶der, N., Amaral, O.B., Valvassori, S., Quevedo, J.",A phosphodiesterase 4-controlled switch between memory extinction and strengthening in the hippocampus,2014,Frontiers in Behavioral Neuroscience,8,MAR,91,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896989806&partnerID=40&md5=1e9800073e1ab843f291a761e91a0a04,Article,Scopus,2-s2.0-84896989806
"Chegini, H.-R., Nasehi, M., Zarrindast, M.-R.",Differential role of the basolateral amygdala 5-HT3 and 5-HT4 serotonin receptors upon ACPA-induced anxiolytic-like behaviors and emotional memory deficit in mice,2014,Behavioural Brain Research,261,,,114,126,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891357550&partnerID=40&md5=34f08aa3f0a05e7a37f8f2b2e6782dfb,Article,Scopus,2-s2.0-84891357550
"Morris, M.C., Schneider, J.A., Li, H., Tangney, C.C., Nag, S., Bennett, D.A., Honer, W.G., Barnes, L.L.",Brain tocopherols related to Alzheimer's disease neuropathology in humans,2014,Alzheimer's and Dementia,,,,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894451508&partnerID=40&md5=068736f36650606381ffc78d4f4abd6f,Article in Press,Scopus,2-s2.0-84894451508
"Guenzel, F.M., Wolf, O.T., Schwabe, L.",Sex differences in stress effects on response and spatial memory formation,2014,Neurobiology of Learning and Memory,109,,,46,55,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891118299&partnerID=40&md5=62729760ec7d86d2a240f38d3fc9177d,Article,Scopus,2-s2.0-84891118299
"Cohen, J.R., Sreenivasan, K.K., D'Esposito, M.",Correspondence between stimulus encoding-and maintenance-related neural processes underlies successful working memory,2014,Cerebral Cortex,24,3,,593,599,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894272269&partnerID=40&md5=c9686a266bd51d15cc59bd85ad21afbb,Article,Scopus,2-s2.0-84894272269
"Huber, R., Born, J.","Sleep, synaptic connectivity, and hippocampal memory during early development",2014,Trends in Cognitive Sciences,18,3,,141,152,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894320354&partnerID=40&md5=c25118d96ade410a54974d2b33cda38f,Review,Scopus,2-s2.0-84894320354
"Papaleo, F., Burdick, M.C., Callicott, J.H., Weinberger, D.R.",Epistatic interaction between COMT and DTNBP1 modulates prefrontal function in mice and in humans,2014,Molecular Psychiatry,19,3,,311,316,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894564629&partnerID=40&md5=b4aafa6a246ed60062be180beed921e3,Article,Scopus,2-s2.0-84894564629
"Smits, L.L., Flapper, M., Sistermans, N., Pijnenburg, Y.A.L., Scheltens, P., van der Flier, W.M.",Apraxia in Mild Cognitive Impairment and Alzheimer's Disease: Validity and Reliability of the Van Heugten Test for Apraxia,2014,Dementia and Geriatric Cognitive Disorders,38,2-Jan,,55,64,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84895666822&partnerID=40&md5=b23e26462e965e15e2bb9eb8e72802b1,Article in Press,Scopus,2-s2.0-84895666822
"Chai, X.J., Ofen, N., Gabrieli, J.D.E., Whitfield-Gabrieli, S.",Selective development of anticorrelated networks in the intrinsic functional organization of the human brain,2014,Journal of Cognitive Neuroscience,26,3,,501,513,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893367452&partnerID=40&md5=17ad402e5f3752c48abfa7cdd2c03863,Article,Scopus,2-s2.0-84893367452
"De Oliveira Thais, M.E.R., Cavallazzi, G., Formolo, D.A., De Castro, L.D., Schmoeller, R., Guarnieri, R., Schwarzbold, M.L., Diaz, A.P., Hohl, A., Prediger, R.D.S., Mader, M.J., Linhares, M.N., Staniloiu, A., Markowitsch, H.J., Walz, R.",Limited predictive power of hospitalization variables for long-term cognitive prognosis in adult patients with severe traumatic brain injury,2014,Journal of Neuropsychology,8,1,,125,139,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894066729&partnerID=40&md5=2e33c1b01154eba2fd8c1db4f04fb34e,Article,Scopus,2-s2.0-84894066729
"Smith, G.K., Kesner, R.P., Korenberg, J.R.",Dentate gyrus mediates cognitive function in the Ts65Dn/DnJ mouse model of down syndrome,2014,Hippocampus,24,3,,354,362,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893958405&partnerID=40&md5=03fc2280ab124b67996fa5bf073485f4,Article,Scopus,2-s2.0-84893958405
"De Chastelaine, M., Rugg, M.D.",The relationship between task-related and subsequent memory effects,2014,Human Brain Mapping,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893799860&partnerID=40&md5=fa57d61fc0407aed159c195e15f4b033,Article in Press,Scopus,2-s2.0-84893799860
"Vogel, S., Gerritsen, L., van Oostrom, I., Arias-VÃ¡squez, A., Rijpkema, M., JoÃ«ls, M., Franke, B., Tendolkar, I., FernÃ¡ndez, G.",Linking genetic variants of the mineralocorticoid receptor and negative memory bias: Interaction with prior life adversity,2014,Psychoneuroendocrinology,40,1,,181,190,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893391516&partnerID=40&md5=ee822f621386aeb707aed0fdd760591c,Article,Scopus,2-s2.0-84893391516
"Del Re, E.C., Bergen, S.E., Mesholam-Gately, R.I., Niznikiewicz, M.A., Goldstein, J.M., Woo, T.U., Shenton, M.E., Seidman, L.J., McCarley, R.W., Petryshen, T.L.",Analysis of schizophrenia-related genes and electrophysiological measures reveals ZNF804A association with amplitude of P300b elicited by novel sounds,2014,Translational Psychiatry,4,, e346,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893417901&partnerID=40&md5=2a7deb27881578527a312c9726e1eea0,Article,Scopus,2-s2.0-84893417901
"Kroes, M.C.W., Tendolkar, I., Van Wingen, G.A., Van Waarde, J.A., Strange, B.A., FernÃ¡ndez, G.",An electroconvulsive therapy procedure impairs reconsolidation of episodic memories in humans,2014,Nature Neuroscience,17,2,,204,206,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893785243&partnerID=40&md5=83375a0fbbcbddcaab787d9083b2b176,Article,Scopus,2-s2.0-84893785243
"Grewe, P., Lahr, D., Kohsik, A., Dyck, E., Markowitsch, H.J., Bien, C.G., Botsch, M., Piefke, M.",Real-life memory and spatial navigation in patients with focal epilepsy: Ecological validity of a virtual reality supermarket task,2014,Epilepsy and Behavior,31,,,57,66,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890626228&partnerID=40&md5=8ee04fef9418652e49ba3e647456b921,Article,Scopus,2-s2.0-84890626228
"Sreenivasan, K.K., Curtis, C.E., D'Esposito, M.",Revisiting the role of persistent neural activity during working memory,2014,Trends in Cognitive Sciences,18,2,,82,89,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892993174&partnerID=40&md5=b07e6e93cc3065ad5a5a274bd620ac48,Review,Scopus,2-s2.0-84892993174
"Salvetti, B., Morris, R.G.M., Wang, S.-H.",The role of rewarding and novel events in facilitating memory persistence in a separate spatial memory task,2014,Learning and Memory,21,2,,61,72,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894247377&partnerID=40&md5=ff321f6afd7565ea589369865f761a3e,Article,Scopus,2-s2.0-84894247377
"Yee, L.T.S., Warren, D.E., Voss, J.L., Duff, M.C., Tranel, D., Cohen, N.J.",The hippocampus uses information just encountered to guide efficient ongoing behavior,2014,Hippocampus,24,2,,154,164,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892677587&partnerID=40&md5=e7bb7f3034b9f4f6c145e223eb379e19,Article,Scopus,2-s2.0-84892677587
"Zugno, A.I., Matos, M.P., Canever, L., Fraga, D.B., De Luca, R.D., Ghedim, F.V., Deroza, P.F., De Oliveira, M.B., Pacheco, F.D., Valvassori, S.S., Volpato, A.M., Budni, J., Quevedo, J.",Evaluation of acetylcholinesterase activity and behavioural alterations induced by ketamine in an animal model of schizophrenia,2014,Acta Neuropsychiatrica,26,1,,43,50,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893769523&partnerID=40&md5=534a4a597e3dbab713e292a912d93e58,Article,Scopus,2-s2.0-84893769523
"Satterthwaite, T.D., Elliott, M.A., Ruparel, K., Loughead, J., Prabhakaran, K., Calkins, M.E., Hopson, R., Jackson, C., Keefe, J., Riley, M., Mentch, F.D., Sleiman, P., Verma, R., Davatzikos, C., Hakonarson, H., Gur, R.C., Gur, R.E.",Neuroimaging of the Philadelphia Neurodevelopmental Cohort,2014,NeuroImage,86,,,544,553,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891634874&partnerID=40&md5=1401ef266c74fa23f050555c433350ff,Review,Scopus,2-s2.0-84891634874
"Burin, D.I., Acion, L., Kurczek, J., Duff, M.C., Tranel, D., Jorge, R.E.",The role of ventromedial prefrontal cortex in text comprehension inferences: Semantic coherence or socio-emotional perspective?,2014,Brain and Language,129,1,,58,64,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896897679&partnerID=40&md5=82152b9e13a5c5603a163a72aa5d0e45,Article,Scopus,2-s2.0-84896897679
"Angelucci, F., Ricci, V., Gelfo, F., Martinotti, G., Brunetti, M., Sepede, G., Signorelli, M., Aguglia, E., Pettorruso, M., Vellante, F., Di Giannantonio, M., Caltagirone, C.",BDNF serum levels in subjects developing or not post-traumatic stress disorder after trauma exposure,2014,Brain and Cognition,84,1,,118,122,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890837664&partnerID=40&md5=2929800c79624a71f70281e2cb788be3,Article,Scopus,2-s2.0-84890837664
"Yoshizawa, H., Gazes, Y., Stern, Y., Miyata, Y., Uchiyama, S.","Characterizing the normative profile of 18F-FDG PET brain imaging: Sex difference, aging effect, and cognitive reserve",2014,Psychiatry Research - Neuroimaging,221,1,,78,85,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891834719&partnerID=40&md5=9e2035bdeb68e4107618d8cefc08b303,Article,Scopus,2-s2.0-84891834719
"Yee, L.T.S., Hannula, D.E., Tranel, D., Cohen, N.J.",Short-term retention of relational memory in amnesia revisited: Accurate performance depends on hippocampal integrity,2014,Frontiers in Human Neuroscience,8,JAN,16,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892975424&partnerID=40&md5=fa21df52313878cedb29f62a7861d51e,Article,Scopus,2-s2.0-84892975424
"Gur, R.E., Yi, J.J., McDonald-McGinn, D.M., Tang, S.X., Calkins, M.E., Whinna, D., Souders, M.C., Savitt, A., Zackai, E.H., Moberg, P.J., Emanuel, B.S., Gur, R.C.",Neurocognitive development in 22q11.2 deletion syndrome: comparison with youth having developmental delay and medical comorbidities,2014,Molecular Psychiatry,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892453333&partnerID=40&md5=29f9eda903efdef6884340b4cf9823b9,Article in Press,Scopus,2-s2.0-84892453333
"Tost, H., Callicott, J.H., Rasetti, R., Vakkalanka, R., Mattay, V.S., Weinberger, D.R., Law, A.J.",Effects of neuregulin 3 genotype on human prefrontal cortex physiology,2014,Journal of Neuroscience,34,3,,1051,1056,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892376254&partnerID=40&md5=c8b35640adc6ae409323d34f2a6a9753,Article,Scopus,2-s2.0-84892376254
"Rolls, E.T.","Limbic systems for emotion and for memory, but no single limbic system",2014,Cortex,,,,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84887026654&partnerID=40&md5=f5d9cf749c0121aee4c34f90469e034e,Article in Press,Scopus,2-s2.0-84887026654
"Wasilewska-Sampaio, A.P., Santos, T.G., Lopes, M.H., Cammarota, M., Martins, V.R.",The growth of glioblastoma orthotopic xenografts in nude mice is directly correlated with impaired object recognition memory,2014,Physiology and Behavior,123,,,55,61,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84886259079&partnerID=40&md5=acd4fbaa59c518bc7c9a91ccb1462344,Article,Scopus,2-s2.0-84886259079
"Hsieh, L.-T., Ranganath, C.",Frontal midline theta oscillations during working memory maintenance and episodic encoding and retrieval,2014,NeuroImage,85,,,721,729,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889664557&partnerID=40&md5=a0d4d89b7329d9de5e48d2a4aaa16424,Review,Scopus,2-s2.0-84889664557
"Hasselmo, M.E., Stern, C.E.",Theta rhythm and the encoding and retrieval of space and time,2014,NeuroImage,85,,,656,666,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889637281&partnerID=40&md5=90d4d4352445c7af2f91b07528b9d97f,Review,Scopus,2-s2.0-84889637281
"Burke, S.N., Maurer, A.P., Nematollahi, S., Uprety, A., Wallace, J.L., Barnes, C.A.",Advanced age dissociates dual functions of the perirhinal cortex,2014,Journal of Neuroscience,34,2,,467,480,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891791687&partnerID=40&md5=c08e5f2a7d9cd77e047f13c64ba3c00c,Article,Scopus,2-s2.0-84891791687
"Gathmann, B., Schulte, F.P., Maderwald, S., Pawlikowski, M., Starcke, K., SchÃ_fer, L.C., SchÃ¶ler, T., Wolf, O.T., Brand, M.","Stress and decision making: neural correlates of the interaction between stress, executive functions, and decision making under risk",2014,Experimental Brain Research,,,,1,17,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891717092&partnerID=40&md5=f214f9640477c25247aa9fc6b38997b5,Article in Press,Scopus,2-s2.0-84891717092
"Li, S., Weerda, R., Milde, C., Wolf, O.T., Thiel, C.M.",Effects of acute psychosocial stress on neural activity to emotional and neutral faces in a face recognition memory paradigm,2014,Brain Imaging and Behavior,,,,1,13,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891652718&partnerID=40&md5=8a70ffac4c1e77531e328e2e3f2466b4,Article in Press,Scopus,2-s2.0-84891652718
"Binder, S., Rawohl, J., Born, J., Marshall, L.",Transcranial slow oscillation stimulation during NREM sleep enhances acquisition of the radial maze task and modulates cortical network activity in rats,2014,Frontiers in Behavioral Neuroscience,7,JAN,220,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892152403&partnerID=40&md5=d912fe4a162c753296583ff078afaeb4,Article,Scopus,2-s2.0-84892152403
"Opitz, B., Schneiders, J.A., Krick, C.M., Mecklinger, A.",Selective transfer of visual working memory training on Chinese character learning,2014,Neuropsychologia,53,1,,1,11,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889578608&partnerID=40&md5=abaf9d44f7e977e66abd6f8a1d054d6e,Article,Scopus,2-s2.0-84889578608
"Witt, J.-A., Coras, R., Schramm, J., Becker, A.J., Elger, C.E., BlÃ_mcke, I., Helmstaedter, C.",The overall pathological status of the left hippocampus determines preoperative verbal memory performance in left mesial temporal lobe epilepsy,2014,Hippocampus,24,4,,446,454,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896127495&partnerID=40&md5=e307959776e2780f4a101b88d5e31b61,Article,Scopus,2-s2.0-84896127495
"Warren, D.E., Jones, S.H., Duff, M.C., Tranel, D.",False recall is reduced by damage to the ventromedial prefrontal cortex: Implications for understanding the neural correlates of schematic memory,2014,Journal of Neuroscience,34,22,,7677,7682,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84901447672&partnerID=40&md5=09c682f2d48cd9498c7b1714bffe2cdf,Article,Scopus,2-s2.0-84901447672
"Guenzel, F.M., Wolf, O.T., Schwabe, L.",Glucocorticoids boost stimulus-response memory formation in humans,2014,Psychoneuroendocrinology,45,,,21,30,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84901234580&partnerID=40&md5=4d1881cf4d8273ee7f7d0edcb0c81164,Article,Scopus,2-s2.0-84901234580
